Wall time,Step,Value
1648749404.702267,1272,4.2517862311797217e-05
1648749404.7209928,1273,4.2643292545108125e-05
1648749404.8179104,1279,4.3403688323451206e-05
1648749404.8822763,1283,4.391813854454085e-05
1648749404.9301798,1286,4.430797343957238e-05
1648749405.2846804,1309,4.741395605378784e-05
1648749405.29932,1310,4.7553829062962905e-05
1648749405.3143222,1311,4.7694116801721975e-05
1648749405.3783667,1315,4.825941869057715e-05
1648749405.530822,1325,4.970216104993597e-05
1648749405.6699157,1334,5.103747025714256e-05
1648749405.7952058,1342,5.225449785939418e-05
1648749405.890049,1348,5.318627518136054e-05
1648749405.9223216,1350,5.350054561858997e-05
1648749405.937117,1351,5.3658375691156834e-05
1648749405.9523172,1352,5.381667142501101e-05
1648749406.0122411,1356,5.445454371511005e-05
1648749406.0441618,1358,5.477630838868208e-05
1648749406.1371727,1364,5.575305476668291e-05
1648749406.1827855,1367,5.6247939937748015e-05
1648749406.2128267,1369,5.65802984056063e-05
1648749406.2280815,1370,5.674721614923328e-05
1648749406.244877,1371,5.691462501999922e-05
1648749406.337481,1377,5.7929501053877175e-05
1648749406.710712,1401,6.21732251602225e-05
1648749408.3052926,1411,6.403192674042657e-05
1648749408.3391864,1413,6.441028381232172e-05
1648749408.4459858,1420,6.575222505489364e-05
1648749408.4919744,1423,6.633586599491537e-05
1648749408.6528628,1433,6.831901555415243e-05
1648749408.7147033,1437,6.912877142895013e-05
1648749408.7451794,1439,6.953724368941039e-05
1648749408.822388,1444,7.056901813484728e-05
1648749408.88513,1448,7.140544767025858e-05
1648749408.930184,1451,7.203927088994533e-05
1648749409.022322,1457,7.332384120672941e-05
1648749409.115177,1463,7.463131623808295e-05
1648749409.221746,1470,7.618620293214917e-05
1648749409.2679768,1473,7.686245953664184e-05
1648749409.298735,1475,7.731663208687678e-05
1648749409.3141387,1476,7.75447188061662e-05
1648749409.343961,1478,7.80029222369194e-05
1648749409.3586817,1479,7.823303894838318e-05
1648749409.4353986,1484,7.939383795019239e-05
1648749409.5246217,1490,8.080955012701452e-05
1648749409.5551045,1492,8.128704212140292e-05
1648749409.5709991,1493,8.152684313245118e-05
1648749409.6636882,1499,8.298059401568025e-05
1648749409.6938443,1501,8.347091352334246e-05
1648749409.8660758,1512,8.621993038104847e-05
1648749409.9736888,1519,8.801625517662615e-05
1648749410.2418733,1536,9.253612370230258e-05
1648749410.2571888,1537,9.280911035602912e-05
1648749410.3211794,1541,9.390914783580229e-05
1648749410.3516843,1543,9.446404146729037e-05
1648749410.3983812,1546,9.53025373746641e-05
1648749410.4141085,1547,9.558368765283376e-05
1648749410.443946,1549,9.614848386263475e-05
1648749410.4747708,1551,9.671661246102303e-05
1648749410.693633,1565,0.00010078862396767363
1648749410.8032346,1572,0.0001028884798870422
1648749410.8657234,1576,0.00010410797403892502
1648749410.9907165,1584,0.00010659050894901156
1648749411.0054426,1585,0.00010690496128518134
1648749411.2544572,1601,0.00011206421186216176
1648749411.286045,1603,0.00011272638948867097
1648749411.3479688,1607,0.00011406249541323632
1648749411.3633807,1608,0.00011439898662501946
1648749411.6285086,1625,0.00012027367483824492
1648749411.7535233,1633,0.0001231416972586885
1648749411.7688093,1634,0.00012350497127044946
1648749411.832934,1638,0.00012496883573476225
1648749411.8627796,1640,0.0001257072581211105
1648749412.0014305,1649,0.0001290845248149708
1648749412.035046,1651,0.00012984727800358087
1648749412.080206,1654,0.00013099984789732844
1648749412.1250255,1657,0.00013216264778748155
1648749412.142959,1658,0.00013255253725219518
1648749412.1581516,1659,0.00013294357631821185
1648749412.2529097,1665,0.00013531417062040418
1648749412.2972522,1668,0.00013651527115143836
1648749412.3274906,1670,0.00013732192746829242
1648749412.4049983,1675,0.00013935945753473788
1648749412.467168,1679,0.0001410112454323098
1648749412.511843,1682,0.00014226291386876255
1648749412.5753386,1686,0.00014394910249393433
1648749412.6048577,1688,0.0001447996764909476
1648749412.620063,1689,0.0001452268479624763
1648749412.870827,1705,0.0001522355159977451
1648749412.9655182,1711,0.00015495011757593602
1648749412.9807718,1712,0.00015540722233708948
1648749413.1042147,1720,0.0001591130276210606
1648749413.1684282,1724,0.00016099894128274173
1648749413.3131711,1733,0.00016532436711713672
1648749413.329031,1734,0.00016581208910793066
1648749413.397,1738,0.00016777741257101297
1648749413.509595,1745,0.00017127291357610375
1648749413.5255013,1746,0.0001717781851766631
1648749413.5449202,1747,0.00017228494107257575
1648749413.8241844,1764,0.00018113222904503345
